fecha;emisor;total
2024-01-11;USERPOSPRD;1103
2024-02-12;COACMUJERESUCOO;42
2024-01-22;COACUNIONEJIDO;678
2024-03-24;RESP_AUTO_2424;8
2024-01-10;COACIMBABURAPAK;209
2024-03-04;COACSANMIGUEL;820
2024-01-30;COOPPROVIDA;32
2024-01-31;COACALIANZA;875
2024-03-16;COOPSCHIMBO;1327
2024-02-02;DISCOVEROTP;51
2024-03-08;ECLIPFIRMADIG;193
2024-03-01;COOPPUELLARO;473
2024-02-14;COACSANTONCO;409
2024-02-17;Pycca;4180
2024-04-01;COACSUMAKKAWSAY;164
2024-02-19;COOPVCISNE;804
2024-01-28;COACSANISIDRO;17
2024-04-01;VTEKSOFT;93
2024-01-17;MAMBATOALD;135
2024-01-19;COOPORDESEG;44
2024-03-14;COACALIANZA;317
2024-03-13;COACPASTAZACOO;3834
2024-02-06;COOPKULLKIWASI;523
2024-02-22;COOPEDUZAMORA;21
2024-01-17;GACELAOTP;49
2024-01-18;COOPPUELLARO;333
2024-03-10;COOPJARAMILLO;751
2024-03-20;ALESSACC;1376
2024-03-19;COOPFORTUNA;107
2024-01-27;COOPSANTONIOTP;72
2024-01-26;COACRECERWINARI;40
2024-02-25;COOPCREDIL;16
2024-01-31;COACGUARANDA;830
2024-01-18;COOPLAMANENSE;43
2024-03-25;EPROCESSMED;29
2024-03-19;hospmet;820
2024-03-12;FUNDEMIRO;59
2024-04-02;PAYPHONEPROD;3727
2024-02-19;CREDITOSECON;1939
2024-01-30;ECUANET;13337
2024-03-18;RETAILID4;328
2024-03-26;COACTULCAN;6501
2024-03-28;COMQUEL;2
2024-01-13;COOPCREDIL;5
2024-04-03;COOPGUALAQUIZA;942
2024-03-11;ALDEPRATI;8023
2024-03-19;DEPRATIBOT;483
2024-01-15;COACCOMERCIOCOO;1610
2024-02-11;novacuenca;1
2024-03-16;COACBENEFICA;363
2024-03-11;COACCREDISOCIO;37
2024-02-28;ALDEPRATI;5497
2024-03-01;VISUALTRACK;43
2024-01-12;MAMBATOALD;99
2024-02-14;EQUIFAX;4
2024-02-03;FUNDEMIRO;76
2024-02-25;COOPSANTOIMBCOO;110
2024-02-02;COACSRGIRON;302
2024-01-24;COOPSANJOSE;1152
2024-04-01;MUVECOM;748
2024-02-08;PNACALRTS;5923
2024-01-01;SERVIENTREGAGYE;19
2024-03-16;ecuaauto;34
2024-02-03;hospmet;27
2024-03-14;COACATAHUALPA;303
2024-02-20;MEGARED;6
2024-02-10;PAYPHONEPROD;1891
2024-03-17;CACPEZAMORA;1619
2024-01-17;COONECTA;93
2024-01-26;COACSANMIGUEL;477
2024-02-06;COACEDUCOTOPAXI;578
2024-03-29;COOPKULLKIWASI;531
2024-02-08;DIRECTVTMW;62
2024-02-16;COACPASTAZACOO;4077
2024-02-28;COACNJERUSALEN;2
2024-02-10;URBANOEXP;724
2024-03-26;COACHIBULEO;7347
2024-01-09;MUVECOM;1
2024-02-21;MOVISTARSEG;22168
2024-03-14;COOPMEGOEC;29879
2024-01-10;COACAUSTRO;162
2024-01-05;COOP23JUL;5816
2024-03-05;SEGUSUAREZ;18
2024-01-03;COOPSTANA;1403
2024-01-26;DEPRATISFTP;228
2024-01-20;COACMAQUITAC;154
2024-01-23;CTHECUADOR;395
2024-03-10;COACLUCAM;855
2024-01-27;CACPECO;2904
2024-01-28;Farletza;5
2024-03-09;CREDITOSECON;2071
2024-04-01;COACTENANOTI;191
2024-01-05;COACSALINAS;271
2024-03-06;COACSUMAKKAWSAY;293
2024-02-24;SWEADENSEGUROS;42
2024-01-07;COOPFDEASIS;26
2024-02-16;FUNESPOIR;249
2024-01-22;URBANOEXP;3466
2024-02-24;COACATAHUALPA;254
2024-01-15;hospmet;1351
2024-01-03;MUTUAMBATO;72
2024-01-08;DEPORPAS;1027
2024-03-11;COACSANFRANWS;149
2024-02-21;COOPSANFRANCIS;2634
2024-03-19;DIPASO;64
2024-01-26;EQUIFAX;2
2024-01-22;COOPSTANA;1143
2024-02-16;BMACHALACB;11973
2024-01-06;COACMOLINO;4
2024-02-26;COOPMULTIEMPRE;1115
2024-02-20;DEPRATI;374
2024-02-25;COOPLAMANENSE;64
2024-03-30;COOPFDEASIS;63
2024-02-16;Farletza;48
2024-02-15;AldeamoOTP;2182
2024-03-13;COACTENANOTI;143
2024-03-08;COACPAD;3907
2024-03-20;COACSANISIDRO;20
2024-01-06;USERPOSPRD;1284
2024-01-04;novacredit;951
2024-01-31;COAC289;149
2024-03-30;CORPOCEN;27
2024-01-07;BMACHALAPROD;6501
2024-03-15;COOPSANTOIMBCOO;94
2024-03-28;COACSALINAS;260
2024-01-27;COACCHONE;1305
2024-03-14;DINERSOTP;3211
2024-03-01;andinave;962
2024-03-06;solcagye;1408
2024-02-14;COACSANMIGUEL;732
2024-01-24;COOP23JUL;3811
2024-03-09;COPCHONE;919
2024-02-21;PROTRAMITES;17372
2024-03-23;DEPRATIMONITOR;1
2024-02-28;COOPSANANTONIO;140
2024-03-04;COACRECERWINARI;70
2024-03-27;novacredit;2542
2024-03-20;ECLIPFIRMADIG;175
2024-03-29;COOPMAQUITA;68
2024-03-11;SAGRARIO;5550
2024-01-30;COOPPUELLARO;317
2024-02-26;COACSANTONCO;328
2024-02-09;PACIFICOBAJA;30087
2024-03-13;EPROCESSMED;35
2024-03-31;COOPDIFARE;23
2024-02-28;ESANCHEZ;15
2024-01-13;INNOVIX;205
2024-02-06;BBPRUEBA;1
2024-01-02;ALDEAMO;15264
2024-03-03;COACRIOBAMBA;2288
2024-01-14;CanalDigitalBDP;12732
2024-02-22;BVISIONFUND;183
2024-01-08;COOPDIFARE;340
2024-01-06;COOPMAQUITA;100
2024-01-28;FUNESPOIR;1
2024-01-22;UAFE;192
2024-01-05;CCSTAROSA;1178
2024-02-09;UANATACA;2059
2024-03-21;COOPVCISNE;642
2024-03-28;COPCHONE;4686
2024-02-02;PROTRAMITES;16426
2024-02-19;BGINTERNACIONAL;33
2024-01-22;COOPEDUZAMORA;14
2024-03-06;RETAILID4;231
2024-02-15;FODEMI;1354
2024-02-26;ecuaauto;144
2024-02-03;COACPASTAZA;453
2024-03-28;COOPSANJOSE;2010
2024-03-16;RESP_AUTO_1231;49
2024-03-22;COOPCALCETA;351
2024-01-30;COOPGUALAQUIZA;777
2024-01-28;RSAGRUPO;1
2024-03-13;COOPAUSTROEC;643
2024-02-22;FUNDEMIRO;73
2024-03-28;CCSTAROSA;1376
2024-03-24;COACECH;165
2024-01-22;PAYPHONEPROD;2419
2024-02-21;COACEDULOJA;236
2024-01-25;COOPKULLKIWASI;768
2024-01-05;COOPSANJOSE;1457
2024-01-01;COACECH;373
2024-02-22;AFECOR;76
2024-01-11;COOPGUALAQUIZA;475
2024-02-19;COAC289;117
2024-03-18;COOPSANANTONIO;715
2024-02-07;ECUASUENIA;4720
2024-02-23;COOPAUSTROEC;487
2024-03-11;COACLAMANENSE;40
2024-02-26;BBPROD;97228
2024-01-29;SIERRACENTRBATCH;316
2024-04-03;ALESSAPAGOS;126
2024-01-02;VIAMATICA;2
2024-03-16;COOPHUANCAVILCA;1175
2024-01-15;BGMKTHUB;66538
2024-01-19;GEOMIL;503
2024-02-02;VIELECSA;62
2024-02-08;DRIVIN;4652
2024-01-18;SOFTSIERRA;110
2024-02-13;COACRIOBAMBA;1840
2024-01-21;ALDEAMO;707
2024-01-08;CACPECO;4284
2024-01-20;SERVIENTREGAGYE;17207
2024-04-02;DINERSOTP;4664
2024-02-04;BINTERNACIONAL;26913
2024-01-03;ECUABULK;322
2024-02-21;PACIFICO;43487
2024-03-07;COACHIBULEO;15240
2024-02-01;COACREABATCH;3857
2024-01-25;CAJAKONTAY;1
2024-03-06;BMACHALACB;463
2024-01-05;COPCHONE;5611
2024-01-18;COOPCOCA;382
2024-03-25;COACCICA;26
2024-01-06;COOPKULLKIWASI;590
2024-02-18;COOPPUELLARO;95
2024-03-14;CARTOPEL;2584
2024-01-11;ALESSAPAGOS;91
2024-01-16;COACSANISIDRO;29
2024-03-18;ESANCHEZ;29
2024-01-26;COACINTICOOP;9
2024-02-16;COPSIERRACENTRO;71
2024-02-16;RSAGRUPO;8
2024-01-21;UANATACA;300
2024-02-27;coaccrea;7531
2024-02-09;ALDEPRATI;19721
2024-01-23;ONLYCONTROL;100
2024-03-10;COOPMAQUITA;77
2024-01-18;COOPPROVIDA;40
2024-01-16;ECLIPFIRMADIG;243
2024-02-10;UAFE;128
2024-02-07;COOPPEDROMONCAYO;879
2024-01-15;COACPASTAZA;2225
2024-03-06;MSPCITAS;25860
2024-01-26;COOPCENTRO;80
2024-02-07;ALYGUTAY2;606
2024-02-23;BINTERNACIONAL;52260
2024-03-09;COACALIANZA;96
2024-01-19;COOPPEDROMONCAYO;837
2024-01-21;FUNESPOIR;13
2024-02-08;MAVESA;431
2024-01-15;DEPORPAS;117
2024-03-09;COOPCENTRO;82
2024-01-08;Hospmet;62
2024-02-28;COACSTANITA;367
2024-04-03;SOFTSIERRA;70
2024-03-12;COACCHONE;1762
2024-02-26;VIELECSA;68
2024-01-08;SEGUSUAREZ;25
2024-02-02;BBPROD;184509
2024-03-23;DEPRATISFTP;84
2024-02-29;COACHIBULEO;9715
2024-01-01;CACPECO;1914
2024-01-21;Farletza;37
2024-03-12;hospmet;113
2024-03-18;COOPSANFRANCIS;3176
2024-01-07;MUSHUCRUNA;1549
2024-03-26;COACVISANDES;275
2024-03-22;COOPLAMANENSE;98
2024-02-19;COOP23JUL;17577
2024-02-12;COPCHONE;373
2024-03-14;BICCOCOONECTA;12
2024-03-09;COACBENEFICA;317
2024-01-16;COACTENANOTI;191
2024-04-03;COOPPROVIDA;40
2024-03-10;genesis;112
2024-02-03;DIRECTVTMW;36
2024-02-15;CNACIONAL;2955
2024-01-31;COACSALINAS;281
2024-04-02;COACPMVEGA;3028
2024-02-06;COACRIOBAMBA;3598
2024-01-26;DEPRATIMONITOR;1
2024-03-20;PAGUEYA;985
2024-01-08;FUNDEMIRO;74
2024-03-23;COACFERDAQUILEMA;6297
2024-02-17;UAFE;27
2024-03-28;COAC289;130
2024-01-18;COOPSANTOIMBCOO;108
2024-01-11;BUDGET;34
2024-02-27;ANTONIOPENA;67
2024-01-25;COACMAQUITAC;120
2024-03-04;CORPOCEN;2190
2024-01-17;DINERSOTP;3043
2024-03-21;CARTOPEL;3108
2024-01-20;AldeamoOTP;2071
2024-01-12;COAC9OC;1061
2024-01-12;COPCHONE;7536
2024-02-21;EQUIFAX;5
2024-01-11;COACPAD;3673
2024-03-04;PACIFICOBAJA;33442
2024-02-28;PROTRAMITES;21422
2024-04-03;COACPAD;97
2024-02-24;COAC289;156
2024-03-14;SIERRACENTRBATCH;59
2024-02-02;COOPSANANTONIO;112
2024-02-13;WABRAVO;12
2024-03-20;novacredit;1466
2024-01-14;SAGRARIO;2390
2024-03-05;PMILESOTP;2
2024-02-19;DEPRATISFTP;151
2024-03-02;YANBAL;450
2024-02-07;VIELECSA;60
2024-01-02;ESANCHEZ;29
2024-01-17;CARTOPEL;2654
2024-02-18;COAC11JUN;634
2024-03-13;RSAGRUPO;2
2024-03-25;COOPLDVALLE;161
2024-02-21;COACINTICOOP;17
2024-01-27;COACECH;335
2024-01-31;COOPSANJOSE;1717
2024-03-25;FUNESPOIR;199
2024-03-23;CORPOCEN;4
2024-02-28;TELMEXNET;508
2024-02-09;CanalDigitalBDP;39285
2024-03-23;BBPROD;76195
2024-02-20;ALYGUTAY;302
2024-03-30;COOPSCHIMBO;1419
2024-02-20;COOPKULLKIWASI;556
2024-03-21;Coacunionpopular;6
2024-04-04;COMQUEL;1
2024-03-17;SERVIENTREGAGYE;207
2024-03-30;MUTUAMBATOEC;140
2024-01-17;PRODUBANCO;499242
2024-01-31;CCSTAROSA;1036
2024-01-22;COACCHONE;1694
2024-01-15;COOP15ABRIL;4356
2024-03-01;PAGUEYA;873
2024-01-19;COOPCENTRO;116
2024-01-27;BVISIONFUND;259
2024-01-07;VIELECSA;28
2024-02-03;COOPDIFARE;63
2024-02-19;COOPMULTIEMPRE;1180
2024-03-15;COOPPUELLARO;579
2024-03-25;IMPTOMEBAMBA;347
2024-01-10;COACHIBULEO;8912
2024-01-14;ALDEPRATI;99
2024-02-08;LPANAMERICANO;246
2024-03-12;BGMKTHUB;4051
2024-01-24;BICCOCOONECTA;8
2024-01-29;COACTULCAN;8018
2024-02-23;Farletza;5
2024-04-02;GEANOTIFICACION;2329
2024-02-11;COACSANISIDRO;34
2024-02-29;ECUABULK;93
2024-01-19;COACBENEFICA;496
2024-01-26;MOVISTARSEG;13935
2024-01-22;HOSPMET;996
2024-03-07;UAFE;323
2024-03-18;COACEDULOJA;878
2024-01-30;BUDGET;8
2024-01-24;COAC289;136
2024-03-23;COACPROVIDA;23
2024-03-22;COOPSANTOIMBCOO;90
2024-01-13;COOPMAQUITA;57
2024-01-19;YANBALCOBR;12104
2024-04-04;COOPPEDROMONCAYO;739
2024-01-10;GEANOTIFICACION;1439
2024-01-30;PAGUEYA;10
2024-03-18;UANATACA;2016
2024-03-15;COACPAD;18
2024-02-02;COACFERDAQUILEMA;9197
2024-03-18;PACIFICO;46234
2024-01-08;ANTONIOPENA;13
2024-02-02;ECOTEC;177
2024-03-01;BUDGET;6
2024-03-02;COPCHONE;883
2024-02-10;COACHIBULEO;5218
2024-01-29;COACDAQUILEMAMSV;2
2024-04-04;ECUASUENIA;419
2024-03-08;ALESSAPAGOS;114
2024-03-19;OMNISWITCH;3331
2024-01-14;PACIFICOBAJA;8203
2024-01-16;COACOORCOTOPAXI;122
2024-01-30;COAC11JUN;624
2024-03-15;COOPCOCA;512
2024-02-26;COACCREDISOCIO;17
2024-01-12;CPTUNGURAHUA;12
2024-01-12;DEPRATIFD;22
2024-02-16;COACFERDAQUILEMA;9336
2024-02-26;COOPVCISNE;708
2024-01-31;DINERSOTP;1740
2024-02-29;COACECH;828
2024-02-12;COACUNIONEJIDO;32
2024-01-31;BMACHALAPROD;10289
2024-01-20;coaccrea;4145
2024-01-09;PROTRAMITES;21264
2024-02-28;KUNANSOFT;41
2024-01-12;YANBAL;716
2024-03-19;PNACALRTS;4994
2024-02-13;COACPAD;3093
2024-03-04;COACCREDIYA;232
2024-01-19;MTIMBABURA;1692
2024-03-07;CARTOPEL;2914
2024-01-09;COOPPROVIDA;20
2024-02-25;VTEKSOFT;19
2024-01-14;GONETAPP;16
2024-03-18;FIDEVALFONDOS;107
2024-01-22;FODEMI;336
2024-01-20;COACOSCUS;4352
2024-01-02;andinave;834
2024-02-24;COACCHONE;1245
2024-03-31;COACECH;419
2024-02-15;COACATAHUALPA;467
2024-04-04;COACALIANZA;415
2024-01-28;BINTERNACIONAL;20664
2024-02-09;COOPSCHIMBO;1354
2024-03-13;COACSTANITA;594
2024-03-11;DIPASO;42
2024-03-27;COACPASTAZACOO;3801
2024-01-18;VISUALTRACK;19
2024-01-29;CREDITOSECON;1756
2024-01-31;COOPMEGOEC;39304
2024-02-01;DEPORPAS;884
2024-02-22;FODEMI;1128
2024-03-16;COACMUJERESUCOO;81
2024-02-20;COACRIOBAMBA;3063
2024-02-03;UAFE;40
2024-02-15;COOPEDUZAMORA;9
2024-02-05;COACCHONE;1383
2024-03-20;FASCA;15
2024-02-03;AldeamoOTP;1938
2024-02-15;COACMOLINO;19
2024-01-31;COACSANFRANWS;154
2024-02-05;COACSANANTONIO;1296
2024-03-11;COACSANJORGE;452
2024-01-25;COACPAD;4022
2024-03-06;COACFERDAQUILEMA;9165
2024-03-28;COOP23JUL;8023
2024-03-07;COACTULCAN;8494
2024-03-12;AFECOR;84
2024-01-09;MSPCITAS;25460
2024-02-01;DEPRATI;197
2024-03-07;COACDAQUILEMAMSV;1618
2024-03-01;COACSANISIDRO;18
2024-02-29;CNACIONAL;3476
2024-03-05;FODEMI;3733
2024-02-17;SaviaHTPPBulk;107
2024-02-06;COOPCOCA;996
2024-03-26;COACIMBABURAPAK;277
2024-02-02;COOPSANFRANCIS;3685
2024-02-16;INDULENTES;4
